match_id,round,date,home_team,home_id,away_team,away_id,home_score,away_score,venue,city,referee,result,home_xg,away_xg,home_possession,away_possession,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_big_chances,away_big_chances,home_big_chances_missed,away_big_chances_missed,home_corners,away_corners,home_passes,away_passes,home_accurate_passes,away_accurate_passes,home_fouls,away_fouls,home_tackles,away_tackles,home_interceptions,away_interceptions,home_recoveries,away_recoveries,home_touches_in_box,away_touches_in_box,home_final_third_entries,away_final_third_entries,home_yellow_cards,away_yellow_cards,home_gk_saves,away_gk_saves,home_goals_prevented,away_goals_prevented
13982003,29,2026-04-18,Radomiak Radom,7295,Widzew Łódź,3115,2,1,Stadion im. Braci Czachorów,Radom,Jaroslaw Przybyl,H,2.33,0.23,51,49,20,7,5,2,2.0,0.0,1.0,0.0,6,2,341,341,262,240,12,15,10,13,13,10,53,51,26,23,56,55,5.0,1.0,2,3,-0.9365,-0.6966
13982004,29,2026-04-17,GKS Katowice,3112,Motor Lublin,7915,3,2,Arena Katowice,Katowice,Tomasz Marciniak,H,2.89,1.67,45,55,22,16,8,8,3.0,2.0,1.0,2.0,4,7,327,412,241,324,12,14,18,11,11,9,45,40,53,29,53,50,2.0,5.0,6,4,-0.0637,-0.6881
13982006,29,2026-04-19,Raków Częstochowa,35268,Cracovia,4901,4,1,Miejski Stadion Piłkarski Raków w Częstochowie,Czestochowa,Szymon Marciniak,H,1.76,1.58,61,39,9,19,7,6,4.0,3.0,1.0,2.0,2,7,558,343,490,265,10,17,5,11,6,6,41,51,17,24,46,48,1.0,2.0,5,3,1.2072,-0.342
13982005,30,2026-04-26,Wisła Płock,3122,Radomiak Radom,7295,0,1,Orlen Arena,Plock,Daniel Stefanski,A,1.31,0.88,44,56,10,17,2,6,3.0,1.0,3.0,0.0,7,7,341,460,267,400,14,11,17,10,9,13,48,36,21,21,43,59,3.0,2.0,5,2,0.2719,0.2211
13982007,30,2026-04-24,Zagłębie Lubin,3113,Bruk-Bet Termalica Nieciecza,36851,1,2,KGHM Zagłębie Arena,Lubin,Damian Kos,A,0.56,1.65,42,58,10,15,2,8,1.0,3.0,0.0,1.0,6,4,276,388,185,316,11,16,15,8,4,2,39,35,30,29,46,50,6.0,2.0,6,1,-0.618,-0.4109
13982008,30,2026-04-25,KS Lechia Gdańsk,7913,Raków Częstochowa,35268,1,2,Polsat Plus Arena Gdańsk,Gdansk,Koki Nagamine,A,1.77,1.6,49,51,11,16,6,4,2.0,1.0,1.0,0.0,3,3,360,393,276,317,13,13,14,9,6,4,47,42,30,22,51,44,2.0,2.0,2,5,-0.4677,0.6681
13982009,30,2026-04-25,MKS Korona Kielce,5065,GKS Katowice,3112,1,1,Exbud Arena,Kielce,Bartosz Frankowski,D,1.9,1.88,56,44,17,16,4,5,3.0,2.0,2.0,1.0,5,3,436,354,331,253,9,8,14,10,8,6,59,44,28,27,54,44,2.0,0.0,4,3,1.0822,0.4344
13982010,30,2026-04-25,Cracovia,4901,Pogoń Szczecin,3117,1,1,Marshal Jozef Pilsudski Stadium,Kraków,Damian Sylwestrzak,D,0.98,0.97,55,45,13,9,4,2,4.0,1.0,3.0,1.0,7,0,415,349,324,264,14,20,13,9,6,8,43,41,19,17,53,63,3.0,4.0,1,3,-0.8165,0.0582
13982011,30,2026-04-26,Lech Poznań,3121,Legia Warszawa,3106,4,0,Enea Poznań,Poznan,Piotr Lasyk,H,2.61,0.37,67,33,23,5,7,0,5.0,1.0,2.0,1.0,5,2,604,289,541,232,11,14,11,17,7,11,49,47,41,11,76,26,0.0,1.0,1,3,0.0,-0.5231
13982014,30,2026-04-24,Jagiellonia Białystok,7691,Górnik Zabrze,3110,1,2,Chorten Arena,Bialystok,Tomasz Kwiatkowski,A,1.36,1.71,61,39,18,11,7,4,3.0,2.0,2.0,1.0,7,2,512,328,433,256,13,14,20,21,4,12,43,42,32,17,67,49,4.0,3.0,3,7,-0.5174,0.0605
13982015,30,2026-04-27,Piast Gliwice,7918,MZKS Arka Gdynia,5064,4,1,Stadion Miejski w Gliwicach,Gliwice,Szymon Marciniak,H,2.3,0.95,64,36,24,7,12,3,4.0,2.0,2.0,1.0,6,5,512,282,421,189,11,7,15,19,5,11,54,41,51,12,49,52,2.0,2.0,2,8,0.254,-0.7533
13982016,30,2026-04-26,Widzew Łódź,3115,Motor Lublin,7915,2,0,Stadion Widzewa Łódź,Lodz,Lukasz Kuzma,H,1.06,0.77,37,63,14,9,5,1,2.0,1.0,1.0,1.0,4,6,247,435,173,355,17,18,22,19,10,9,52,45,20,23,48,49,2.0,1.0,1,3,0.0531,-0.8189
13982012,31,2026-05-01,Legia Warszawa,3106,Widzew Łódź,3115,1,0,Stadion Wojska Polskiego w Warszawie,Warsaw,Wojciech Myc,H,2.0,0.3,62,38,15,6,4,1,3.0,1.0,2.0,1.0,6,1,490,301,411,227,15,15,16,15,11,8,44,42,35,12,65,38,4.0,2.0,1,2,0.0113,0.4387
13982013,31,2026-05-13,MZKS Arka Gdynia,5064,Górnik Zabrze,3110,0,0,Stadion GOSiR,Gdynia,Marcin Szczerbowicz,D,1.32,1.03,36,64,11,15,2,2,2.0,1.0,2.0,1.0,1,9,275,490,190,398,14,12,16,15,10,4,45,50,15,29,58,70,0.0,2.0,1,2,0.009,0.554
13982017,31,2026-05-02,Motor Lublin,7915,Lech Poznań,3121,0,1,Arena Lublin,Lublin,Karol Arys,A,0.73,1.73,52,48,11,24,1,6,1.0,2.0,1.0,2.0,3,7,420,384,347,317,10,8,16,14,7,7,51,57,20,35,45,58,,,5,1,0.1379,0.1948
13982018,31,2026-05-03,Zagłębie Lubin,3113,Cracovia,4901,0,0,KGHM Zagłębie Arena,Lubin,Tomasz Kwiatkowski,D,1.3,0.78,32,68,18,15,3,3,2.0,1.0,2.0,1.0,5,11,219,444,144,379,6,14,8,9,6,2,33,30,26,34,43,58,2.0,2.0,2,3,0.1797,0.7126
13982019,31,2026-05-04,Radomiak Radom,7295,KS Lechia Gdańsk,7913,3,1,Stadion im. Braci Czachorów,Radom,Szymon Marciniak,H,1.1,3.56,34,66,13,27,5,7,1.0,6.0,1.0,5.0,4,7,252,469,171,403,10,9,13,11,9,5,40,52,12,39,48,61,1.0,2.0,6,2,1.7062,-1.5414
